Número;Competición;Jornada;Día;Mes;Año;Equipo;Jugador que lo provoca;Jugador que lanza;Pie;Falla/Anota;Equipo contrario;Portero;Portero lanza;Para/No Para;Jugador que lo comete;Lugar;Árbitro;Acierta/Falla;Altura;Dirección;Otros;VAR;RATIFICA VAR
1;Liga;1;13;Septiembre;2020;Villarreal;Gerard Moreno;Gerard Moreno;Izquierdo;Anota;Huesca;Andrés Fernández;Derecha;No Para;Pablo Maffeo;El Madrigal;Estrada Fernández;Acierta;Bajo;Derecha;;SÍ;
2;Liga;2;20;Septiembre;2020;Betis;Álex Moreno;Nabil Fekir;Izquierdo;Anota;Valladolid;Roberto Jiménez;Derecha;No Para;Óscar Plano;Benito Villamarín;Jaime Latre;Acierta;Medio;Derecha;;SÍ;
3;Liga;3;26;Septiembre;2020;Real Sociedad;Adnan Januzaj;Adnan Januzaj;Izquierdo;Anota;Elche;Edgar Badía;Derecha;No Para;Luismi Sánchez;Martínez Valero;Díaz de Mera Escuderos;Acierta;Medio;Derecha;;;
4;Liga;3;26;Septiembre;2020;Madrid;Borja Mayoral;Sergio Ramos;Derecho;Anota;Betis;Joel Robles;Izquierda;No Para;Marc Bartra;Benito Villamarín;De Burgos Bengoetxea;Acierta;Alto;Centro;Panenka;SÍ;
5;Liga;3;27;Septiembre;2020;Levante;José Luis Morales;Roger Martí;Derecho;Falla;Osasuna;Sergio Herrera;Derecha;Para;Raúl Navas;El Sadar;Melero López;Acierta;Bajo;Derecha;;;
6;Liga;3;27;Septiembre;2020;Atlético;Joao Félix;Saúl Ñíguez;Izquierdo;Falla;Granada;Rui Silva;Derecha;Para;Domingos Duarte;Wanda Metropolitano;Estrada Fernández;Acierta;Medio;Derecha;;;
7;Liga;3;27;Septiembre;2020;Valladolid;Kike Pérez;Sergi Guardiola;Izquierdo;Anota;Celta;Iván Villar;Izquierda;No Para;Hugo Mallo;José Zorrilla;Sánchez Martínez;Acierta;Bajo;Derecha;;;
8;Liga;3;27;Septiembre;2020;Barcelona;Ansu Fati;Leo Messi;Izquierdo;Anota;Villarreal;Sergio Asenjo;Izquierda;No Para;Mario Gaspar;Camp Nou;Cuadra Fernández;Acierta;Bajo;Izquierda;;;
9;Liga;4;30;Septiembre;2020;Villarreal;Mario Gaspar;Gerard Moreno;Izquierdo;Anota;Alavés;Fernando Pacheco;Centro;No Para;Florian Lejeune;El Madrigal;Medié Jiménez;Acierta;Bajo;Izquierda;;SÍ;
10;Liga;4;30;Septiembre;2020;Eibar;Kike García;Edu Expósito;Derecho;Falla;Elche;Edgar Badía;Izquierda;No Para;Pere Milla;Ipurúa;Jaime Latre;Acierta;Alto;Centro;;SÍ;
11;Liga;5;3;Octubre;2020;Eibar;Esteban Burgos;Esteban Burgos;Derecho;Anota;Valladolid;Roberto Jiménez;Izquierda;No Para;Jawad El Yamiq;José Zorrilla;Díaz de Mera Escuderos;Acierta;Alto;Derecha;;SÍ;
12;Liga;5;3;Octubre;2020;Valladolid;Toni Villa;Sergi Guardiola;Izquierdo;Falla;Eibar;Marko Dmitrovic;Derecha;Para;Eñaut Mendia;José Zorrilla;Díaz de Mera Escuderos;Acierta;Medio;Derecha;;;
13;Liga;5;3;Octubre;2020;Real Sociedad;Cristian Portu;Mikel Oyarzábal;Izquierdo;Anota;Getafe;David Soria;Izquierda;No Para;Mathías Olivera;Anoeta;Mateu Lahoz;Acierta;Medio;Centro;;;
14;Liga;6;17;Octubre;2020;Getafe;Djené Dakonam;Jaime Mata;Derecho;Anota;Barcelona;Neto Murara;Derecha;No Para;Frenkie De Jong;Coliseum Alfonso Pérez;Soto Grado;Acierta;Bajo;Izquierda;;;
15;Liga;6;18;Octubre;2020;Villarreal;Alfonso Pedraza;Paco Alcácer;Derecho;Anota;Valencia;Jaume Doménech;Izquierda;No Para;Gabriel Paulista;El Madrigal;Del Cerro Grande;Acierta;Bajo;Derecha;;;
16;Liga;6;18;Octubre;2020;Valladolid;Toni Villa;Waldo Rubio;Derecho;Anota;Huesca;Andrés Fernández;Izquierda;No Para;Jaime Seoane;El Alcoraz;Figueroa Vázquez;Acierta;Medio;Izquierda;;;
