"DateTime";"Scheduled flights";"Tracked flights"
"2022-02-18";92;88
"2022-02-19";82;73
"2022-02-20";97;92
"2022-02-21";84;74
"2022-02-22";68;53
"2022-02-23";88;74
"2022-02-24";86;3
"2022-02-25";93;0
"2022-02-26";84;0
"2022-02-27";104;0
"2022-02-28";82;0
"2022-03-01";58;0
"2022-03-02";75;0
"2022-03-03";68;0
"2022-03-04";97;0
"2022-03-05";63;0
"2022-03-06";37;0
"2022-03-07";46;0
"2022-03-08";21;0
"2022-03-09";30;0
"2022-03-10";27;0
"2022-03-11";13;0
"2022-03-12";25;0
"2022-03-13";11;0
"2022-03-14";9;0
"2022-03-15";12;0
"2022-03-16";15;0
"2022-03-17";25;0
"2022-03-18";9;0
"2022-03-19";24;0
